db_id,resource_name,current_access,link_HTML,available_2016,unavailable_message_2016,available_update_date_2016,notes_2016,nb_articles_2016,total_citation_2016,total_citation_2021,year_first_publication,year_last_publication
MBDC0420,BioCyc,https://biocyc.org/,"<a href=""https://biocyc.org/"">access link</a>",yes,not_applicable,2016,not_applicable,5,619,2460,2008,2016
MBDC1311,EMDataBank: Electron Microscopy DataBank,https://www.emdataresource.org/,"<a href=""https://www.emdataresource.org/"">access link</a>",yes,not_applicable,2016,not_applicable,2,109,275,2011,2016
NAR9044,CroW 21,http:// bioinfo.weizmann.ac.il/crow21,"<a href=""http:// bioinfo.weizmann.ac.il/crow21"">access link</a>",no,not found,not_applicable,not_applicable,1,24,136,2003,2003
MBDC0384,CADB: Confrontation Angles Database,http://144.16.71.148/cadb/,"<a href=""http://144.16.71.148/cadb/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,10,10,2003,2003
NAR9020,AsMamDB: Alternatively spliced genes of Mammals DataBase,http://166.111.30.65/ASMAMDB.html,"<a href=""http://166.111.30.65/ASMAMDB.html"">access link</a>",no,can't be reached,not_applicable,not_applicable,2,92,94,2001,2001
MBDC1680,HMDD: Human microRNA Disease Database,http://202.38.126.151/hmdd/tools/hmdd2.html,"<a href=""http://202.38.126.151/hmdd/tools/hmdd2.html"">access link</a>",yes,not_applicable,2013,not_applicable,1,66,461,2014,2014
MBDC1574,2P2Idb,http://2p2idb.cnrs-mrs.fr,"<a href=""http://2p2idb.cnrs-mrs.fr"">access link</a>",yes,not_applicable,2016,not_applicable,1,62,108,2013,2013
MBDC0633,3did: 3D Interacting Domains,http://3did.irbbarcelona.org,"<a href=""http://3did.irbbarcelona.org"">access link</a>",yes,not_applicable,2016,not_applicable,4,318,455,2005,2014
MBDC1350,3DNALandscapes,http://3DNAscapes.rutgers.edu,"<a href=""http://3DNAscapes.rutgers.edu"">access link</a>",yes,not_applicable,2009,not_applicable,1,8,10,2010,2010
NAR9002,5_SAGE,http://5sage.gi.k.u-tokyo.ac.jp/,"<a href=""http://5sage.gi.k.u-tokyo.ac.jp/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,13,13,2005,2005
MBDC1810,EpilepsyGene,http://61.152.91.49/EpilepsyGene,"<a href=""http://61.152.91.49/EpilepsyGene"">access link</a>",yes,not_applicable,unknown,not_applicable,1,2,38,2015,2015
NAR9082,ExDom,http://66.170.16.154/ExDom/,"<a href=""http://66.170.16.154/ExDom/"">access link</a>",no,not found,not_applicable,not_applicable,1,7,8,2009,2009
NAR9003,AANT: Amino Acid-Nucleotide Interaction Database,http://aant.icmb.utexas.edu/,"<a href=""http://aant.icmb.utexas.edu/"">access link</a>",no,can't be reached,not_applicable,not_applicable,2,185,216,2004,2004
NAR9216,ParaDB,http://abi.marseille.inserm.fr/paradb/,"<a href=""http://abi.marseille.inserm.fr/paradb/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,19,20,2003,2003
MBDC0403,ACLAME: A CLAssification of Mobile genetic Elements,http://aclame.ulb.ac.be,"<a href=""http://aclame.ulb.ac.be"">access link</a>",yes,not_applicable,2013,not_applicable,2,180,315,2004,2010
MBDC1536,ADHDgene,http://adhd.psych.ac.cn/,"<a href=""http://adhd.psych.ac.cn/"">access link</a>",yes,not_applicable,2014,not_applicable,1,19,55,2012,2012
MBDC0541,NASCArrays,http://affymetrix.arabidopsis.info,"<a href=""http://affymetrix.arabidopsis.info"">access link</a>",yes,not_applicable,2014,"Access - Archived; files available as FTP, NASC's International Affymetrix Service (CLOSED!) - Ran from 2002 - 2013",1,275,297,2004,2004
MBDC1380,PLANdbAffy,http://affymetrix2.bioinf.fbb.msu.ru,"<a href=""http://affymetrix2.bioinf.fbb.msu.ru"">access link</a>",yes,not_applicable,unknown,not_applicable,1,21,22,2010,2010
MBDC0635,AGD: Ashbya Genome Database,http://agd.unibas.ch/,"<a href=""http://agd.unibas.ch/"">access link</a>",yes,not_applicable,2006,not_applicable,1,16,17,2005,2005
MBDC1718,AgeFactDB: JenAge Ageing Factor Database,http://agefactdb.jenage.de,"<a href=""http://agefactdb.jenage.de"">access link</a>",yes,not_applicable,2013,not_applicable,1,8,31,2014,2014
MBDC1808,DAA: Digital Ageing Atlas,http://ageing-map.org/,"<a href=""http://ageing-map.org/"">access link</a>",yes,not_applicable,2015,not_applicable,1,12,38,2015,2015
MBDC1879,Aging Chart,http://agingchart.org/,"<a href=""http://agingchart.org/"">access link</a>",yes,not_applicable,2016,not_applicable,1,2,7,2016,2016
MBDC1287,AHD: Arabidopsis Hormone Database,http://ahd.cbi.pku.edu.cn,"<a href=""http://ahd.cbi.pku.edu.cn"">access link</a>",yes,not_applicable,unknown,not_applicable,2,51,81,2009,2011
MBDC1488,AH-DB: Apo–Holo DataBase,http://ahdb.ee.ncku.edu.tw/,"<a href=""http://ahdb.ee.ncku.edu.tw/"">access link</a>",yes,not_applicable,2013,not_applicable,1,7,10,2012,2012
MBDC0119,ALFRED: Allele Frequency Database,http://alfred.med.yale.edu,"<a href=""http://alfred.med.yale.edu"">access link</a>",yes,not_applicable,unknown,not_applicable,4,144,217,2000,2012
MBDC1149,Vir-Mir db,http://alk.ibms.sinica.edu.tw,"<a href=""http://alk.ibms.sinica.edu.tw"">access link</a>",yes,not_applicable,unknown,not_applicable,1,44,68,2008,2008
NAR9007,AluGene,http://Alugene.tau.ac.il/,"<a href=""http://Alugene.tau.ac.il/"">access link</a>",no,related generic reseach institution site redirect,not_applicable,not_applicable,1,43,50,2004,2004
MBDC1393,AmoebaDB,http://AmoebaDB.org,"<a href=""http://AmoebaDB.org"">access link</a>",yes,not_applicable,2017,not_applicable,1,15,65,2011,2011
NAR9010,AngioDB,http://angiodb.snu.ac.kr/,"<a href=""http://angiodb.snu.ac.kr/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,3,4,2002,2002
MBDC1043,4D Xpress,http://ani.embl.de/4DXpress,"<a href=""http://ani.embl.de/4DXpress"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,26,28,2008,2008
MBDC1354,ComSin,http://antares.protres.ru/comsin/,"<a href=""http://antares.protres.ru/comsin/"">access link</a>",yes,not_applicable,unknown,not_applicable,1,16,22,2010,2010
MBDC0969,ApiDB: Apicomplexan DataBase,http://ApiDB.org,"<a href=""http://ApiDB.org"">access link</a>",yes,not_applicable,2016,not_applicable,1,76,83,2007,2007
MBDC0410,AppaDB,http://appadb.eb.tuebingen.mpg.de,"<a href=""http://appadb.eb.tuebingen.mpg.de"">access link</a>",no,related generic reseach institution site redirect,not_applicable,not_applicable,1,4,4,2004,2004
MBDC1588,APPRIS,http://appris.bioinfo.cnio.es,"<a href=""http://appris.bioinfo.cnio.es"">access link</a>",yes,not_applicable,2016,not_applicable,1,33,101,2013,2013
NAR9110,GRASP: Genome-Wide Repository of Associations between SNPs and Phenotypes,http://apps.nhlbi.nih.gov/Grasp/Overview.aspx,"<a href=""http://apps.nhlbi.nih.gov/Grasp/Overview.aspx"">access link</a>",no,not found,not_applicable,not_applicable,1,16,94,2015,2015
NAR9046,DAMPD: Dragon Antimicrobial Peptide Database,http://apps.sanbi.ac.za/dampd,"<a href=""http://apps.sanbi.ac.za/dampd"">access link</a>",yes,not_applicable,unknown,not_applicable,1,40,72,2012,2012
MBDC1190,Ovarian Cancer Genetics Database,http://apps.sanbi.ac.za/ddoc/,"<a href=""http://apps.sanbi.ac.za/ddoc/"">access link</a>",no,not found,not_applicable,not_applicable,1,25,32,2009,2009
MBDC0408,APD: Antimicrobial Peptide Database,http://aps.unmc.edu/AP/,"<a href=""http://aps.unmc.edu/AP/"">access link</a>",yes,not_applicable,2016,not_applicable,3,861,1970,2004,2016
MBDC0411,Aptamer database,http://aptamer.icmb.utexas.edu,"<a href=""http://aptamer.icmb.utexas.edu"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,129,164,2004,2004
MBDC0618,AGRIS: Arabidopsis Gene Regulatory Information Server,http://arabidopsis.med.ohio-state.edu/,"<a href=""http://arabidopsis.med.ohio-state.edu/"">access link</a>",yes,not_applicable,2016,not_applicable,1,133,224,2011,2011
MBDC0097,TAIR: The Arabidopsis Information Resource,http://arabidopsis.org,"<a href=""http://arabidopsis.org"">access link</a>",yes,not_applicable,2017,not_applicable,4,1786,2775,2001,2012
MBDC0876,UCSC Archaeal Genome Browser,http://archaea.ucsc.edu,"<a href=""http://archaea.ucsc.edu"">access link</a>",yes,not_applicable,unknown,not_applicable,2,126,151,2006,2012
MBDC1207,ARDB: Antibiotic Resistance Genes Database,http://ardb.cbcb.umd.edu/,"<a href=""http://ardb.cbcb.umd.edu/"">access link</a>",yes,not_applicable,2009,"Funding; Service Status; ARDB is not being maintained at the moment, though we hope to secure funding to further improve it.",1,267,699,2009,2009
NAR9242,PSF: Protein Segment Finder,http://ari.stanford.edu/psf,"<a href=""http://ari.stanford.edu/psf"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,9,10,2009,2009
MBDC1284,AS-ALPS: Alternative Splicing-induced Alteration of Protein Structure,http://as-alps.nagahama-i-bio.ac.jp,"<a href=""http://as-alps.nagahama-i-bio.ac.jp"">access link</a>",yes,not_applicable,unknown,Other; alt good http://genomenetwork.nig.ac.jp/as-alps/,1,18,23,2009,2009
MBDC0640,ASRP: Arabidopsis Small RNA Project Database,http://asrp.cgrb.oregonstate.edu/db/,"<a href=""http://asrp.cgrb.oregonstate.edu/db/"">access link</a>",no,not found,not_applicable,not_applicable,2,216,228,2005,2008
