db_id,resource_name,current_access,link_HTML,is_a_pun,available_2022,last_accessible_year,unavailable_message,year_first_publication,year_last_publication,total_citations_2022,nb_authors_max,nb_articles_2022
MBDC1698,MetaRef,http://metaref.org,"<a href=""http://metaref.org"">access link</a>",FALSE,No,2017,Not found,2014,2014,41,7,1
MBDC1032,MINT: The Molecular INTeraction database,http://mint.bio.uniroma2.it/mint,"<a href=""http://mint.bio.uniroma2.it/mint"">access link</a>",FALSE,No,2017,Forbidden,2007,2012,1650,12,3
MBDC1811,Organ System Heterogeneity DB,http://mips.helmholtz-muenchen.de/Organ_System_Heterogeneity/,"<a href=""http://mips.helmholtz-muenchen.de/Organ_System_Heterogeneity/"">access link</a>",FALSE,No,Never archived functional,service unavailable,2015,2015,6,4,1
MBDC0558,PEPR: Public Expression Profiling Resource,http://microarray.cnmcresearch.org/pgadatatable.asp,"<a href=""http://microarray.cnmcresearch.org/pgadatatable.asp"">access link</a>",FALSE,No,2016,can't be reached,2004,2004,42,8,1
MBDC0895,miRNAMap,http://miRNAMap.mbc.nctu.edu.tw/,"<a href=""http://miRNAMap.mbc.nctu.edu.tw/"">access link</a>",FALSE,No,2020,can't be reached,2006,2008,359,10,2
MBDC1361,MetaBioME,http://metasystems.riken.jp/metabiome/,"<a href=""http://metasystems.riken.jp/metabiome/"">access link</a>",FALSE,Yes,NA,NA,2010,2010,42,4,1
MBDC1028,PlasmID,http://plasmid.hms.harvard.edu,"<a href=""http://plasmid.hms.harvard.edu"">access link</a>",FALSE,No,2021,Forbidden,2007,2007,28,8,1
MBDC1471,SitEx,http://www-bionet.sscc.ru/sitex/,"<a href=""http://www-bionet.sscc.ru/sitex/"">access link</a>",TRUE,No,2018,Forbidden,2012,2012,4,4,1
MBDC0638,AtNoPDB: Arabidopsis Nucleolar Protein DataBase,http://bioinf.scri.sari.ac.uk/cgi-bin/atnopdb/home,"<a href=""http://bioinf.scri.sari.ac.uk/cgi-bin/atnopdb/home"">access link</a>",FALSE,No,2022,Not found,2005,2005,62,4,1
MBDC0967,SuperHapten,http://bioinformatics.charite.de/superhapten,"<a href=""http://bioinformatics.charite.de/superhapten"">access link</a>",FALSE,No,2021,Not found,2007,2007,16,5,1
MBDC1136,SuperTarget,http://bioinformatics.charite.de/supertarget,"<a href=""http://bioinformatics.charite.de/supertarget"">access link</a>",FALSE,No,2021,Not found,2008,2012,490,16,2
MBDC1738,SuperPain,http://bioinformatics.charite.de/superpain/,"<a href=""http://bioinformatics.charite.de/superpain/"">access link</a>",FALSE,No,2021,Not found,2014,2014,7,3,1
MBDC1255,Voronoia,http://bioinformatics.charite.de/voronoia,"<a href=""http://bioinformatics.charite.de/voronoia"">access link</a>",FALSE,No,2022,Not found,2009,2009,61,5,1
MBDC1277,SuperToxic,http://bioinformatics.charite.de/supertoxic,"<a href=""http://bioinformatics.charite.de/supertoxic"">access link</a>",FALSE,No,2022,Not found,2009,2009,57,9,1
MBDC1332,SuperSweet,http://bioinformatics.charite.de/sweet/,"<a href=""http://bioinformatics.charite.de/sweet/"">access link</a>",FALSE,No,2022,Not found,2011,2011,36,6,1
MBDC1602,EProS: Energy PROfile Suite,http://bioservices.hs-mittweida.de/Epros/,"<a href=""http://bioservices.hs-mittweida.de/Epros/"">access link</a>",FALSE,No,2022,Not found,2013,2013,9,4,1
MBDC1634,SynSysNet,http://bioinformatics.charite.de/synsysnet,"<a href=""http://bioinformatics.charite.de/synsysnet"">access link</a>",FALSE,No,2022,Not found,2013,2013,31,15,1
MBDC1739,Transformer Database,http://bioinformatics.charite.de/transformer,"<a href=""http://bioinformatics.charite.de/transformer"">access link</a>",FALSE,No,2022,Not found,2014,2014,35,6,1
MBDC1510,PhenoM,http://phenom.ccbr.utoronto.ca/,"<a href=""http://phenom.ccbr.utoronto.ca/"">access link</a>",TRUE,No,2019,Bad Gateway,2012,2012,11,11,1
MBDC1536,ADHDgene,http://adhd.psych.ac.cn/,"<a href=""http://adhd.psych.ac.cn/"">access link</a>",FALSE,No,2022,Bad Gateway,2012,2012,55,7,1
NAR9188,MyMpn,http://mympn.crg.eu,"<a href=""http://mympn.crg.eu"">access link</a>",FALSE,No,2022,Bad Gateway,2015,2015,21,8,1
MBDC0074,GOBASE,http://gobase.bcm.umontreal.ca/,"<a href=""http://gobase.bcm.umontreal.ca/"">access link</a>",FALSE,No,2020,Other error,1998,2009,149,7,5
MBDC0912,TBestDB: Taxonomically Broad EST DataBase,http://tbestdb.bcm.umontreal.ca/,"<a href=""http://tbestdb.bcm.umontreal.ca/"">access link</a>",FALSE,No,2021,Other error,2007,2007,76,8,1
NAR9254,RhizoBase,http://genome.microbedb.jp/rhizobase,"<a href=""http://genome.microbedb.jp/rhizobase"">access link</a>",FALSE,No,2016,Bad Gateway,2014,2014,49,13,1
MBDC1301,BRENDA BTO: BRENDA Tissue Ontology,http://www.BTO.brenda-enzymes.org,"<a href=""http://www.BTO.brenda-enzymes.org"">access link</a>",FALSE,No,2027,malware warning,2011,2011,97,7,1
NAR9035,CATDB: Complete Arabidopsis Transcriptome Database,http://urgv.evry.inra.fr/CATdb,"<a href=""http://urgv.evry.inra.fr/CATdb"">access link</a>",FALSE,No,2019,Other error,2008,2015,136,12,2
MBDC0154,PEDB: Prostate Expression Database,http://www.pedb.org,"<a href=""http://www.pedb.org"">access link</a>",FALSE,No,2021,blank page,1999,2002,90,7,3
MBDC0176,LGICdb: Ligand Gated Ion Channel database,http://www.ebi.ac.uk/compneur-srv/LGICdb/,"<a href=""http://www.ebi.ac.uk/compneur-srv/LGICdb/"">access link</a>",FALSE,No,2018,blank page,1999,2006,163,3,3
MBDC1336,TRIP: mammalian TRansient receptor potential channel-Interacting Protein,http://www.trpchannel.org,"<a href=""http://www.trpchannel.org"">access link</a>",TRUE,No,2021,blank page,2011,2011,21,5,1
MBDC1111,PepCyber,http://www.pepcyber.org/PPEP/,"<a href=""http://www.pepcyber.org/PPEP/"">access link</a>",FALSE,No,2019,blank page,2008,2008,36,12,1
MBDC0544,NEMBASE,http://www.nematodes.org,"<a href=""http://www.nematodes.org"">access link</a>",FALSE,No,2019,blank page,2004,2004,62,5,1
MBDC0715,PartiGeneDB,http://www.partigenedb.org,"<a href=""http://www.partigenedb.org"">access link</a>",FALSE,No,2016,blank page,2005,2005,11,4,1
MBDC1146,UTGB/medaka: University of Tokyo Genome Browser Medaka,http://medaka.utgenome.org/,"<a href=""http://medaka.utgenome.org/"">access link</a>",FALSE,No,2016,blank page,2008,2008,26,38,1
MBDC1299,BriX,http://brix.crg.es,"<a href=""http://brix.crg.es"">access link</a>",FALSE,No,2015,blank page,2011,2011,36,7,1
NAR9257,RNA Virus Database,http://virus.zoo.ox.ac.uk/rnavirusdb,"<a href=""http://virus.zoo.ox.ac.uk/rnavirusdb"">access link</a>",FALSE,No,2016,Can't be reached,2009,2009,12,4,1
NAR9258,RNABase,http://www.rnabase.org,"<a href=""http://www.rnabase.org"">access link</a>",FALSE,No,2015,Can't be reached,2003,2003,34,2,1
NAR9260,RsGDB: Rhodobacter sphaeroides genome database,http://utmmg.med.uth.tmc.edu/sphaeroides,"<a href=""http://utmmg.med.uth.tmc.edu/sphaeroides"">access link</a>",FALSE,No,2016,Can't be reached,1999,1999,12,4,1
NAR9262,RTCGD,http://RTCGD.ncifcrf.gov,"<a href=""http://RTCGD.ncifcrf.gov"">access link</a>",FALSE,No,2015,Can't be reached,2004,2004,279,5,1
NAR9264,S4,http://compbio.mds.qmw.ac.uk/S4.html,"<a href=""http://compbio.mds.qmw.ac.uk/S4.html"">access link</a>",FALSE,No,2014,Can't be reached,2005,2005,13,2,1
NAR9267,SCOR: Structural Classification of RNA,http://scor.lbl.gov,"<a href=""http://scor.lbl.gov"">access link</a>",FALSE,No,2015,Can't be reached,2002,2004,175,6,2
NAR9268,SDR: Specificity Determining Residue Database,http://paradox.harvard.edu/sdr,"<a href=""http://paradox.harvard.edu/sdr"">access link</a>",FALSE,No,2016,Can't be reached,2009,2009,16,2,1
NAR9270,SGCEdb: Structural Fenomics focusing on Caenorhabditis Elegans database,http://sgce.cbse.uab.edu,"<a href=""http://sgce.cbse.uab.edu"">access link</a>",FALSE,No,2015,Can't be reached,2006,2006,2,4,1
NAR9274,SilkDB: Silkworm Knowledgebase,http://www.silkdb.org,"<a href=""http://www.silkdb.org"">access link</a>",FALSE,No,2014,Can't be reached,2005,2010,354,21,2
NAR9276,SitesBase,http://www.bioinformatics.leeds.ac.uk/sb,"<a href=""http://www.bioinformatics.leeds.ac.uk/sb"">access link</a>",FALSE,No,2015,Can't be reached,2006,2006,83,2,1
NAR9277,Small RNA database (Reddy),http://mbcr.bcm.tmc.edu/smallRNA/smallrna.html,"<a href=""http://mbcr.bcm.tmc.edu/smallRNA/smallrna.html"">access link</a>",FALSE,No,2014,Can't be reached,1991,1998,61,3,7
