article_global_id,article_id,db_id,resource_name,published_access,available,unavailable_message,notes,article_year,citations
10.1093/nar/gkm900,1530,MBDC0420,BioCyc,https://biocyc.org/,yes,not_applicable,"Funding; Service Status; BioCyc... effort requires large financial resources that -- despite numerous attempts over numerous years -- have not been forthcoming from government funding agencies. Thus, we plan to transition BioCyc to a community-supported non-profit subscription model in the coming months.",2008,184
10.1093/nar/gkp875,1954,MBDC0420,BioCyc,https://biocyc.org/,yes,not_applicable,not_applicable,2010,155
10.1093/nar/gkr1014,2369,MBDC0420,BioCyc,https://biocyc.org/,yes,not_applicable,not_applicable,2012,148
10.1093/nar/gkt1103,2656,MBDC0420,BioCyc,https://biocyc.org/,yes,not_applicable,not_applicable,2014,127
10.1093/nar/gkv1164,3062,MBDC0420,BioCyc,https://biocyc.org/,yes,not_applicable,not_applicable,2016,5
10.1093/nar/gkq880,2198,MBDC1311,EMDataBank: Electron Microscopy DataBank,http://EMDataBank.org,yes,not_applicable,not_applicable,2011,108
10.1093/nar/gkv1126,3023,MBDC1311,EMDataBank: Electron Microscopy DataBank,http://emdatabank.org,yes,not_applicable,not_applicable,2016,1
10.1093/nar/29.1.80,596,MBDC0357,SGD: Saccharomyces Genome Database,http:// genome-www.stanford.edu/Saccharomyces/,yes,not_applicable,Link; that is the correct URL as in PDF and it does redirect properly,2001,48
10.1093/nar/gkg050,789,NAR9044,CroW 21,http:// bioinfo.weizmann.ac.il/crow21,no,not found,not_applicable,2003,24
10.1093/nar/29.1.70,613,MBDC0072,DB-AT: Database of Apicomplexan Transcriptomes,http://133.11.149.55/,no,can't be reached,not_applicable,2001,23
10.1093/nar/gkg084,827,MBDC0384,CADB: Confrontation Angles Database,http://144.16.71.148/cadb/,no,can't be reached,not_applicable,2003,10
10.1093/nar/29.1.260,599,NAR9020,AsMamDB: Alternatively spliced genes of Mammals DataBase,http://166.111.30.65/ASMAMDB.html,no,can't be reached,not_applicable,2001,46
10.1093/nar/gkt1023,2590,MBDC1680,HMDD: Human microRNA Disease Database,http://202.38.126.151/hmdd/tools/hmdd2.html,yes,not_applicable,not_applicable,2014,66
10.1093/nar/gks1002,2578,MBDC1574,2P2Idb,http://2p2idb.cnrs-mrs.fr,yes,not_applicable,not_applicable,2013,62
10.1093/nar/gki037,1073,MBDC0633,3did: 3D Interacting Domains,http://3did.embl.de,yes,not_applicable,not_applicable,2005,127
10.1093/nar/gkn690,1860,MBDC0633,3did: 3D Interacting Domains,http://3did.irbbarcelona.org,yes,not_applicable,not_applicable,2009,53
10.1093/nar/gkq962,2046,MBDC0633,3did: 3D Interacting Domains,http://3did.irbbarcelona.org,yes,not_applicable,not_applicable,2011,96
10.1093/nar/gkt887,2762,MBDC0633,3did: 3D Interacting Domains,http://3did.irbbarcelona.org,yes,not_applicable,not_applicable,2014,42
10.1093/nar/gkp959,1915,MBDC1350,3DNALandscapes,http://3DNAscapes.rutgers.edu,yes,not_applicable,not_applicable,2010,8
10.1093/nar/gki085,1051,NAR9002,5_SAGE,http://5sage.gi.k.u-tokyo.ac.jp/,no,can't be reached,not_applicable,2005,13
10.1093/nar/gku943,2934,MBDC1810,EpilepsyGene,http://61.152.91.49/EpilepsyGene,yes,not_applicable,not_applicable,2015,2
10.1093/nar/gkn746,1769,NAR9082,ExDom,http://66.170.16.154/ExDom/,no,not found,not_applicable,2009,7
10.1093/nar/gkh128,940,NAR9003,AANT: Amino Acid-Nucleotide Interaction Database,http://aant.icmb.utexas.edu/,no,can't be reached,not_applicable,2004,92
10.1093/nar/gkg106,778,NAR9216,ParaDB,http://abi.marseille.inserm.fr/paradb/,no,can't be reached,not_applicable,2003,19
10.1093/nar/gkh084,937,MBDC0403,ACLAME: A CLAssification of Mobile genetic Elements,http://aclame.ulb.ac.be,yes,not_applicable,not_applicable,2004,102
10.1093/nar/gkp938,1972,MBDC0403,ACLAME: A CLAssification of Mobile genetic Elements,http://aclame.ulb.ac.be,yes,not_applicable,not_applicable,2010,78
10.1093/nar/gkr992,2281,MBDC1536,ADHDgene,http://adhd.psych.ac.cn/,yes,not_applicable,not_applicable,2012,19
10.1093/nar/gkh133,932,MBDC0541,NASCArrays,http://affymetrix.arabidopsis.info,yes,not_applicable,"Access - Archived; files available as FTP, NASC's International Affymetrix Service (CLOSED!) - Ran from 2002 - 2013",2004,275
10.1093/nar/gkp969,1997,MBDC1380,PLANdbAffy,http://affymetrix2.bioinf.fbb.msu.ru,yes,not_applicable,not_applicable,2010,21
10.1093/nar/gki009,1118,MBDC0635,AGD: Ashbya Genome Database,http://agd.unibas.ch/,yes,not_applicable,not_applicable,2005,16
10.1093/nar/gkt1073,2636,MBDC1718,AgeFactDB: JenAge Ageing Factor Database,http://agefactdb.jenage.de,yes,not_applicable,not_applicable,2014,8
10.1093/nar/gku843,2941,MBDC1808,DAA: Digital Ageing Atlas,http://ageing-map.org/,yes,not_applicable,not_applicable,2015,12
10.1093/nar/gkv1287,3067,MBDC1879,Aging Chart,http://agingchart.org/,yes,not_applicable,not_applicable,2016,2
10.1093/nar/gkn873,1778,MBDC1287,AHD: Arabidopsis Hormone Database,http://ahd.cbi.pku.edu.cn,yes,not_applicable,not_applicable,2009,30
10.1093/nar/gkq1066,2049,MBDC1287,AHD: Arabidopsis Hormone Database,http://ahd.cbi.pku.edu.cn,yes,not_applicable,not_applicable,2011,21
10.1093/nar/gkr940,2342,MBDC1488,AH-DB: Apo–Holo DataBase,http://ahdb.ee.ncku.edu.tw/,yes,not_applicable,not_applicable,2012,7
10.1093/nar/gkg043,845,MBDC0119,ALFRED: Allele Frequency Database,http://alfred.med.yale.edu,yes,not_applicable,not_applicable,2003,47
10.1093/nar/gkr924,2366,MBDC0119,ALFRED: Allele Frequency Database,http://alfred.med.yale.edu,yes,not_applicable,not_applicable,2012,25
10.1093/nar/gkm610,1681,MBDC1149,Vir-Mir db,http://alk.ibms.sinica.edu.tw,yes,not_applicable,not_applicable,2008,44
10.1093/nar/gkh132,909,NAR9007,AluGene,http://Alugene.tau.ac.il/,no,related generic reseach institution site redirect,not_applicable,2004,43
10.1093/nar/gkq1006,2128,MBDC1393,AmoebaDB,http://AmoebaDB.org,yes,not_applicable,not_applicable,2011,15
10.1093/nar/30.1.369,698,NAR9010,AngioDB,http://angiodb.snu.ac.kr/,no,can't be reached,not_applicable,2002,3
10.1093/nar/gkm797,1605,MBDC1043,4D Xpress,http://ani.embl.de/4DXpress,no,can't be reached,not_applicable,2008,26
10.1093/nar/gkp963,1918,MBDC1354,ComSin,http://antares.protres.ru/comsin/,yes,not_applicable,not_applicable,2010,16
