article_global_id,db_id,article_id,article_year,Authors,Author.s..ID,Title,Source.title,Volume,Issue,Page.start,Page.end,Index.Keywords,Funding.Details,Funding.Text.1,Funding.Text.2,Funding.Text.3,PubMed.ID,Open.Access,citations_2016,citations_2021,nb_authors
10.1093/nar/gkm900,MBDC0420,1530,2008,"Caspi R., Foerster H., Fulcher C.A., Kaipa P., Krummenacker M., Latendresse M., Paley S., Rhee S.Y., Shearer A.G., Tissier C., Walk T.C., Zhang P., Karp P.D.",36795330000;8958638500;36880910800;12776770900;6507578673;6508214757;6701786955;57208120586;7005515609;6602530320;57220381772;55249556800;7006431499;,The MetaCyc Database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases,Nucleic Acids Research,36,SUPPL. 1,D623,D631,"enzyme; article; BioCyc Database; computer interface; computer program; data analysis; electron transport; genetic database; genomics; information retrieval; information service; Internet; metabolism; metabolite; MetaCyc Database; nonhuman; prediction; priority journal; reference database; taxonomy; web browser; Animals; Archaea; Bacteria; Computational Biology; Databases, Genetic; Enzymes; Fungi; Genomics; Internet; Metabolic Networks and Pathways; Plants; Software; User-Computer Interface","National Science Foundation, NSF: DBI-0417062

National Institute of General Medical Sciences, NIGMS: R01GM075742, R01GM080746, R33GM070065","We thank Veronica Armendarez for submitting data from the Streptomyces coelicolor PGDB. We thank Adam Qwan for contributions to the chemical compound data and help with quality assurance of Pathway Tools. This work was supported by grants GM70065, GM080746 and GM75742 from the NIH National Institute of General Medical Sciences. P.Z. and S.Y.R. were supported in part by NSF grant DBI-0417062, and C.T. was supported in part by a gift from Pioneer Hi-Bred. The contents of this article are solely the responsibility of the authors and do not necessarily represent the official views of the preceding agencies. Funding to pay the Open Access publication charges for this article was provided by the NIH National Institute of General Medical Sciences.",NA,NA,17965431,"All Open Access, Gold, Green",184,497,13
10.1093/nar/gkp875,MBDC0420,1954,2010,"Caspi R., Altman T., Dale J.M., Dreher K., Fulcher C.A., Gilham F., Kaipa P., Karthikeyan A.S., Kothari A., Krummenacker M., Latendresse M., Mueller L.A., Paley S., Popescu L., Pujar A., Shearer A.G., Zhang P., Karp P.D.",36795330000;35344554200;35477845400;35582345100;36880910800;8905725600;12776770900;6701605301;35345342400;6507578673;6508214757;7102773636;6701786955;56233923900;12767361300;7005515609;55249556800;7006431499;,The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases,Nucleic Acids Research,38,SUPPL.1,D473,D479,"enzyme; article; BioCyc database; computer program; electron transport; factual database; genetic database; genome analysis; Internet; metabolism; MetaCyc database; nonhuman; prediction; priority journal; scientific literature; search engine; signal transduction; animal; archaeal genome; bacterial genome; biological model; biology; genetic database; human; information retrieval; methodology; nucleic acid database; plant genome; protein database; protein tertiary structure; virus genome; Animals; Computational Biology; Databases, Genetic; Databases, Nucleic Acid; Databases, Protein; Genome, Archaeal; Genome, Bacterial; Genome, Plant; Genome, Viral; Humans; Information Storage and Retrieval; Internet; Models, Biological; Protein Structure, Tertiary; Software","National Science Foundation, NSF: 0640769, 1026003

National Institute of General Medical Sciences, NIGMS: R01GM075742, R01GM080746",NA,NA,NA,19850718,"All Open Access, Gold, Green",155,365,18
10.1093/nar/gkr1014,MBDC0420,2369,2012,"Caspi R., Altman T., Dreher K., Fulcher C.A., Subhraveti P., Keseler I.M., Kothari A., Krummenacker M., Latendresse M., Mueller L.A., Ong Q., Paley S., Pujar A., Shearer A.G., Travers M., Weerasinghe D., Zhang P., Karp P.D.",36795330000;35344554200;35582345100;36880910800;37089797200;6507517200;35345342400;6507578673;6508214757;7102773636;55250495400;6701786955;12767361300;7005515609;36830340000;55250680300;55249556800;7006431499;,The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases,Nucleic Acids Research,40,D1,D742,D753,"enzyme; article; BioCyc database; comparative study; computer interface; data analysis software; data processing; DNA integration; enzyme analysis; gene transfer; genetic analysis; genetic database; genetic model; human; metabolism; metabolite; MetaCyc database; nonhuman; online system; operon; Pathway Genome database; priority journal; reference database; Databases, Factual; Energy Metabolism; Enzymes; Genome; Genomics; Internet; Metabolic Networks and Pathways; Metabolomics; Software","National Science Foundation, NSF: 0640769, 1026003, DBI-0640769, IOS-1026003

National Institutes of Health, NIH: GM077678

U.S. Department of Energy, USDOE: DE-SC0004878

National Institute of General Medical Sciences, NIGMS: R01GM075742, R01GM080746, U24GM088849","National Institute of General Medical Sciences of the National Institutes of Health (grants GM080746, GM077678, GM088849 and GM075742); Department of Energy (bioenergy-related pathway curation, grant DE-SC0004878); National Science Foundation (MetaCyc curation performed by the Plant Metabolic Network, grants IOS-1026003 and DBI-0640769). Funding for open access charge: A grant from the National Institute of General Medical Sciences of the National Institutes of Health (NIH).",NA,NA,22102576,"All Open Access, Gold, Green",148,437,18
10.1093/nar/gkt1103,MBDC0420,2656,2014,"Caspi R., Altman T., Billington R., Dreher K., Foerster H., Fulcher C.A., Holland T.A., Keseler I.M., Kothari A., Kubo A., Krummenacker M., Latendresse M., Mueller L.A., Ong Q., Paley S., Subhraveti P., Weaver D.S., Weerasinghe D., Zhang P., Karp P.D.",36795330000;35344554200;55990709700;35582345100;8958638500;36880910800;55991032400;6507517200;35345342400;55991325800;6507578673;6508214757;7102773636;55250495400;6701786955;37089797200;55990470400;55250680300;55249556800;7006431499;,The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of Pathway/Genome Databases,Nucleic Acids Research,42,D1,D459,D471,"article; bioinformatics; data analysis software; data collection method; enzyme analysis; enzyme kinetics; gene mapping; gene ontology; gene regulatory network; genetic database; genome analysis; genomics; glycosaminoglycan metabolism; metabolic measurement system; nonhuman; online system; priority journal; process control; process design; process development; process optimization; protein database; publication; Saccharomyces cerevisiae; taxonomy; web browser; chemical database; chemistry; classification; computer program; genetics; genome; Internet; kinetics; metabolism; Article; BioCyc database; computer interface; human; information retrieval; metabolite; MetaCyc database; operon; reference database; YeastCyc database; enzyme; polysaccharide; enzyme; glycan; Databases, Chemical; Enzymes; Gene Ontology; Genome; Internet; Kinetics; Metabolic Networks and Pathways; Polysaccharides; Software; Saccharomyces cerevisiae","National Science Foundation, NSF: 0640769, 1026003, DBI-0640769, IOS-1026003

National Institutes of Health, NIH

U.S. Department of Energy, USDOE: DE-SC0004878

National Institute of General Medical Sciences, NIGMS: R01GM075742, R01GM080746, U24GM077678, U24GM088849","National Institute of General Medical Sciences of the National Institutes of Health (NIH) [GM080746, GM077678, GM088849 and GM75742]; Department of Energy [DE-SC0004878 toward Bioenergy-related pathway curation]; National Science Foundation [IOS-1026003 and DBI-0640769 toward MetaCyc curation performed by the Plant Metabolic Network]. Funding for open access: NIH.",NA,NA,24225315,"All Open Access, Gold, Green",127,640,20
10.1093/nar/gkv1164,MBDC0420,3062,2016,"Caspi R., Billington R., Ferrer L., Foerster H., Fulcher C.A., Keseler I.M., Kothari A., Krummenacker M., Latendresse M., Mueller L.A., Ong Q., Paley S., Subhraveti P., Weaver D.S., Karp P.D.",36795330000;55990709700;7006111690;8958638500;36880910800;6507517200;35345342400;6507578673;6508214757;7102773636;55250495400;6701786955;37089797200;55990470400;7006431499;,The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases,Nucleic Acids Research,44,D1,D471,D480,"algorithm; Article; electron transport; factual database; gene sequence; genetic database; human; metabolism; metabolite; molecular weight; nonhuman; operon; phenotype; priority journal; quality control; chemical database; genetics; genome; Internet; software; enzyme; Databases, Chemical; Databases, Genetic; Electron Transport; Enzymes; Genome; Internet; Metabolic Networks and Pathways; Software","National Institutes of Health, NIH

National Institute of General Medical Sciences, NIGMS: R01GM075742, R01GM080746, U24GM077678","National Institute of General Medical Sciences of the National Institutes of Health (NIH) [GM080746, GM077678, GM75742]. Funding for open access charge: National Institute of General Medical Sciences of the National Institutes of Health.",NA,NA,26527732,"All Open Access, Gold, Green",5,521,15
10.1093/nar/gkq880,MBDC1311,2198,2011,"Lawson C.L., Baker M.L., Best C., Bi C., Dougherty M., Feng P., Van Ginkel G., Devkota B., Lagerstedt I., Ludtke S.J., Newman R.H., Oldfield T.J., Rees I., Sahni G., Sala R., Velankar S., Warren J., Westbrook J.D., Henrick K., Kleywegt G.J., Berman H.M., Chiu W.",7101627102;57212685837;35078049000;36011530400;7103132643;35274796300;35345832200;24376221600;37665357400;7004165333;7401855819;57202951252;56634439200;35345805000;37665905000;12789098300;57203492292;7005961388;23067173000;7003416287;7101628162;7201503414;,EMDataBank.org: Unified data resource for CryoEM,Nucleic Acids Research,39,SUPPL. 1,D456,D464,"access to information; article; computer program; cryoelectron microscopy; information retrieval; information storage; molecular imaging; priority journal; Protein Data Bank; structural bioinformatics; Cryoelectron Microscopy; Databases, Factual; Databases, Protein; Macromolecular Substances; Models, Molecular; Proteins","National Institutes of Health, NIH

National Institute of General Medical Sciences, NIGMS: R01GM079429

European Bioinformatics Institute, EMBL-EBI

Biotechnology and Biological Sciences Research Council, BBSRC: BB/G022577/1","EMDataBank.org is supported by a National Institutes of Health grant [R01GM079429] to Baylor College of Medicine, Rutgers University and the European Bioinformatics Institute. PDBe receives additional support for EMDB development from the Biotechnology and Biological Sciences Research Council [BBG022577] and from EMBL. Funding for open access charge: NIH grant R01GM079429.",NA,NA,20935055,"All Open Access, Gold, Green",108,192,22
10.1093/nar/gkv1126,MBDC1311,3023,2016,"Lawson C.L., Patwardhan A., Baker M.L., Hryc C., Garcia E.S., Hudson B.P., Lagerstedt I., Ludtke S.J., Pintilie G., Sala R., Westbrook J.D., Berman H.M., Kleywegt G.J., Chiu W.",7101627102;8940119400;57212685837;36518892000;57190048934;7202070049;37665357400;7004165333;27868024100;37665905000;7005961388;7101628162;7003416287;56774395500;,EMDataBank unified data resource for 3DEM,Nucleic Acids Research,44,D1,D396,D403,"Article; controlled study; data analysis; data base; data processing; electron microscopy; EMDataBank; information center; nonhuman; priority journal; Protein Data Bank; three dimensional electron microscopy; validation study; chemistry; factual database; macromolecule; molecular model; protein database; three dimensional imaging; macromolecule; protein; Databases, Factual; Databases, Protein; Imaging, Three-Dimensional; Macromolecular Substances; Microscopy, Electron; Models, Molecular; Proteins","National Institutes of Health, NIH

National Institute of General Medical Sciences, NIGMS: P41GM103832, R01GM079429

Wellcome Trust, WT: 088944, 104948

Seventh Framework Programme, FP7: 284209

European Bioinformatics Institute, EMBL-EBI

Medical Research Council, MRC: MR/L007835, MR/L007835/1

Biotechnology and Biological Sciences Research Council, BBSRC: BB/G022577/1

Fifth Framework Programme, FP5","EMDataBank Unified Data Resource for 3DEM is supported by the National Institutes of Health [R01GM079429] to Baylor College of Medicine, Rutgers University and the EMBL-European Bioinformatics Institute. PDBe receives additional support for EMDB development from the UK Medical Research Council [MR/L007835]; European Commission Framework 7 Programme [284209]; Wellcome Trust [088944, 104948]; EMBL-EBI. Funding for open access charge: National Institutes of Health (NIH) [R01GM079429].",NA,NA,26578576,"All Open Access, Gold, Green",1,83,14
10.1093/nar/29.1.80,MBDC0357,596,2001,"Ball C.A., Jin H., Sherlock G., Weng S., Matese J.C., Andrada R., Binkley G., Dolinski K., Dwight S.S., Harris M.A., Issel-Tarver L., Schroeder M., Botstein D., Cherry J.M.",57194699001;7403073031;55660443800;7101951950;6701415184;6508046133;6603369949;7003406558;6701468586;7404205832;6602569528;7202239428;7102711191;7202723332;,Saccharomyces genome database provides tools to survey gene expression and functional analysis data,Nucleic Acids Research,29,1,80,81,fungal DNA; gene product; article; computer network; controlled study; data analysis; data base; DNA microarray; fungal genetics; gene expression; gene function; gene sequence; genetic analysis; genome; information processing; medical research; nonhuman; online system; priority journal; Saccharomyces cerevisiae; sequence analysis; Fungi; Myxogastria; Saccharomyces; Saccharomyces; Saccharomyces cerevisiae; Saccharomyces cerevisiae,NA,NA,NA,NA,11125055,"All Open Access, Green",48,50,14
10.1093/nar/gkg050,NAR9044,789,2003,"Safran M., Chalifa-Caspi V., Shmueli O., Olender T., Lapidot M., Rosen N., Shmoish M., Peter Y., Glusman G., Feldmesser E., Adato A., Peter I., Khen M., Atarot T., Groner Y., Lancet D.",7005486571;6602272869;7003850952;6603336355;7003826592;7101601396;6507118154;6701469424;6603866416;36977128500;6602930988;35737624800;6603654588;6506219672;7005212734;7006723885;,"Human gene-centric databases at the Weizmann Institute of science: GeneCards, UDB, CroW 21 and HORDE",Nucleic Acids Research,31,1,142,146,"chromosome 21; Chromosome 21 database; computer program; controlled study; gene expression profiling; gene location; gene mapping; GeneCards; genetic database; human; human genome; Human Olfactory Receptor Data Exploratorium; Internet; Israel; medical research; olfactory receptor; priority journal; qualitative analysis; quantitative analysis; review; Unified Database; Algorithms; Chromosome Mapping; Chromosomes, Human, Pair 21; Databases, Genetic; Gene Expression Profiling; Genome, Human; Humans; Israel; Receptors, Odorant",NA,The work described in this paper was supported by the Weizmann Institute of Sciences Crown Human Genome Center and by the Abraham and Judith Goldwasser foundation.,NA,NA,12519968,"All Open Access, Bronze, Green",24,136,16
10.1093/nar/29.1.70,MBDC0072,613,2001,"Watanabe J., Sasaki M., Suzuki Y., Sugano S.",57189705985;35447821400;55626680600;35354458800;,FULL-malaria: A database for a full-length enriched cDNA library from human malaria parasite,Nucleic Acids Research,29,1,70,71,"adenine; complementary DNA; messenger RNA; new drug; nucleotide; oligonucleotide; thymine; vaccine; amino acid sequence; article; chromosome 2; chromosome analysis; computer program; controlled study; data base; DNA library; drug research; eukaryote; gene expression; gene sequence; gene targeting; genetic analysis; genetic code; genome; malaria; molecular cloning; nonhuman; nucleotide sequence; Plasmodium falciparum; priority journal; sequence analysis; Animals; Databases, Factual; DNA, Complementary; Erythrocytes; Gene Library; Humans; Internet; Malaria, Falciparum; Molecular Sequence Data; Plasmodium falciparum; Eukaryota; Plasmodium falciparum; Protozoa",NA,NA,NA,NA,11125052,"All Open Access, Bronze, Green",23,26,4
